Title,Artist
Chari,1974 A.D
Bancha Aani Bancha Deu,1974 A.D
Jati Maya,1974 Ad
"Nepali Ho (feat. Subani Moktan, Kutumba, Aid Ray & Mukti)",1974 Ad
Timilai Bolaunda,1974 Ad
Gahiro,Monkey Temple Nepal
Harauna Chahanchu,Monkey Temple Nepal
Sangai,Monkey Temple Nepal
Gahiro II (Bilin),Monkey Temple Nepal
Basant,Bipul Chettri
Karnali (The River),Arthur Gunn
Jalai Mai,Arthur Gunn
Same Old Town,Arthur Gunn
Khoj,Arthur Gunn
Khaseka Tara,Albatross
Lukna Deu,The Axe
Harayeko Graha,Kush Band Nepal
K Garnu Manai Ta Ho,Kush Band Nepal
Pari,Kush Band Nepal
Wasalpana,Kush Band Nepal
Sanjha Pakha,Nabin K Bhattarai
Sanglanga Dooby,Gauley Bhai
Thupari Udi,Gauley Bhai
Simrayo,Gauley Bhai
Parkhai,The Uglyz
Save Me Now,Arthur Gunn
Dalli Resham,Mukti & Revival
Intro - Ma Ra Malai,Albatross
Acoustic #11 (Socheko),Monkey Temple Nepal
Suchana! Suchana!! Suchana!!!,Albatross
Nyano Ghar,Arthur Gunn
Juneli Raat,Tribal Rain Sikkim
Bhrama (Instrumental),Tribal Rain Sikkim
Devi Deuta,Tribal Rain Sikkim
Ma Baato Hidejhai,Pahenlo Batti Muni
Basanta Udayo,Mukti & Revival
Yo Junibhar,The Edge Band
Maya,Mantra Band
Swarga,Tribal Rain Sikkim
Sunideu,Tribal Rain Sikkim
Timro Mann,Dibya Subba
Agyani,Pahenlo Batti Muni
Timro Laagi,Sabin Rai & The Pharaoh
Timro Nazarle,The Axe
Namari Baachey,Adrian Pradhan
Bhawana,Albatross
Eklo Jeevan,Cobweb
Nabhulidew Timi,Bhram
Nepali,Albatross
Raat Ko Rani,Albatross
Ojhel,Arthur Gunn
Yatra,Arthur Gunn
Sadai Bhaari Lai,Arthur Gunn
Maryo,Karma Band
Cheuri Phool,Mt.8848
Anumati,Monkey Temple Nepal
Sahar Timro,Karma Band
Mai Runchu,Diwas Gurung
Ayeko ma (shadow dai),Diwas Gurung
Aakasaima Chaina,Diwas Gurung
Laijau,Diwas Gurung
Aayeko Ma,Diwas Gurung
Euta Chitthiko,The Axe
Bistarai,Swar
Dhanyavaad,Sabin Rai & The Pharaoh
Bhumari,Rachana Dahal
Asambhav,Rachana Dahal
Ma Sakdina,Rachana Dahal
Hey Bhagwan,Rachana Dahal
Kasari,The Edge Band
Lampate Surati,Amrit Gurung-nepathya
Stardog Champion,Mother Love Bone
Jewnalai Garo Bho,The Edge Band
Khusi Deykhchu Timi Aja,The Edge Band
Dukha Diyera,The Edge Band
Prayas,The Edge Band
Timro Maya Live On KMN,Cobweb
Euta Manchhe,Sugam Pokharel
Mero Sansar,Sugam Pokharel
Mero Saath,Nabin K Bhattrai
Raharai Raharma,Nabin K Bhattrai
Khusi Umanga,Nabin K Bhattrai
Sayed,Nabin K Bhattrai
Yaad Sanchi,Nabin K Bhattrai
Timile Herda,Nabin K Bhattrai
Bhedako Oon Jasto,Nepathya
Sa Karnali,Nepathya
Taal Ko Pani,Nepathya
Reshamm,Nepathya
Jaba Sandhya Hunchha,Yogeshwor Amatya
Panimuni,Yogeshwor Amatya
Sayad Timro Batoma,Raju Lama
Sakchhau Bhane,Anil Singh
I Love You,Anil Singh
Will You Marry Me,Anil Singh
Prem Patra,Anil Singh
Mysterious Girl,Dhiraj Rai
Luki Luki,Dhiraj Rai
Maya Meri Maya,Sanjay Shrestha
Musu Musu Hasideu,Sanjay Shrestha
Meri Maya,Sanjay Shrestha
Meri Preyashi,Nima Rumba
Preet Ko Nasha,Cobweb
Ma Yesto Geet Gauchu,Joheb Manandhar
Jom Somai Bajarma,Nepathya
Timi Nabhaye,Sugam Pokharel
Jaba Ma Nindarama,Sunil Bardewa
Ratto Rani,Ajnish
Aankhama Timilai,Nabin K Bhattarai
Pari,Anil Singh
Ko Hau Timi (OST First Love),Karma Band
Musumusu,Yogeshwor Amatya
Ma mauntama (original),Om Bikram Bista
Timile Herda,Nabin K Bhattarai
Badal Paariko Deshbata,Raju Lama
Mauntama,Karma Band
Hidaa Hiddai,Adrian Pradhan
Ekadashi Bajaraima,Khem Raj Gurung
Priya,Deepak Bajracharya
Pani Paryo,Rohit John Chettri
Badalpariko Deshbata,Raju Lama
Aatma Ma,Kamal Khatri
Udayo Relaile,Amrit Gurung
Goreto Ani,Sunil Bardewa
Aau Aauna,Nima Rumba
Mero Priyasi,Nima Rumba
Miss Catwalk,Nima Rumba
Block Hill,Nima Rumba
Maya Maya,Nima Rumba
Lolita,Nima Rumba
Timra Nayan,Dhiraj Rai
Timi Runda,Dhiraj Rai
SIRIMA SIRI,Sanjeep Pradhan
Praya,The Axe
Dekhe Timilai,The Axe
Lognemanchhe,Yogeshwor Amatya
Ma Yesto Chu,Girish Khatiwada
Aakashaima,Atma
China Company,Prakash Rana
Basa Sundari....,Deepu Gurung
Mela Lagechha,The Sky Band
Yo Hoi,Dr Pilots
Engine Gadima,Anil Singh
Lekaki He Maya,Kandara Group
Lai Bari Lai,Arthur Gunn
Eklai Huda Ta Jhan,Phosphenes
Maya Pirati,Kali Prasad Baskota
Kheladi,Sushant KC
B.L.Y.H.L,Sajjan Raj Vaidya
Fakauna Ma,Sushant KC
Aankhama,Nabin K Bhattarai
Siri Ma SIri,Narayan Gopal
Purana Kura,Ulto Pulto
Harauna Mancha,Ulto Pulto
Dhaka Topi,The Elements
Oiliyeko Phool,The Elements
Jindagi Ko Gaadi,The Elements
Tatepate,Pahenlo Batti Muni
"Sanjha Parey Pachhi (From ""Appa"")",Snehshree Thapa
Sukumbaasi,Sajjan Raj Vaidya
Suna Baatuli,Kali Prasad Baskota
Katai Uslai,Bipul Chettri
Nau Lakhey Tara,Bipul Chettri
Yestai Nai Hola,Phosphenes
Mellow,Sajjan Raj Vaidya
Neela Akash,Bipul Chettri
Tattoo,Ulto Pulto
Yaadharu,Ankit Shrestha
Dubo Phulyo,Hemanta Rana
Laijau Malai,Abhaya & The Steam Engines
Jham Jham,Kta Haru
Ali Ali,LOWA
Nachana Fanana,LOWA
Paisaa,Kushal Grumpy
"Topendra, Pt. 2",Chirag Khadka
Fewataal,Yabesh Thapa
Samadhi,Chirag Khadka
Aa Budi,Chirag Khadka
Ganja Ko Sahara,Bikyy Karki
Chihan Ki Pari,Shirish Khadka
Saathi (60),Mt.8848
